Crop,Year,State,Area ('000 Hectares),Production ('000 Tonnes),Yield (Kg per Ha))
Finger Millet (Ragi),2004-05,Sikkim  ,4.50,4.10,911.11
Finger Millet (Ragi),2005-06,Sikkim  ,4.40,4.00,909.09
Finger Millet (Ragi),2006-07,Sikkim  ,4.40,4.00,909.09
Finger Millet (Ragi),2007-08,Sikkim  ,4.40,4.00,909.09
Finger Millet (Ragi),2008-09,Sikkim  ,4.40,3.90,886.36
Finger Millet (Ragi),2009-10,Sikkim  ,4.30,5.00,1162.79
Finger Millet (Ragi),2010-11,Sikkim  ,3.00,2.90,966.67
Finger Millet (Ragi),2011-12,Sikkim  ,4.46,4.16,932.74
Finger Millet (Ragi),2012-13,Sikkim  ,3.00,3.40,1133.33
Finger Millet (Ragi),2013-14,Sikkim  ,3.60,3.50,972.22
Finger Millet (Ragi),2014-15,Sikkim  ,3.70,3.60,972.97
Finger Millet (Ragi),2015-16,Sikkim  ,2.90,3.00,1034.48
Finger Millet (Ragi),2016-17,Sikkim  ,0.00,0.00,
Finger Millet (Ragi),2017-18,Sikkim  ,,0.00,
Finger Millet (Ragi),2018-19,Sikkim  ,0.00,0.00,
Finger Millet (Ragi),2019-20,Sikkim  ,0.00,0.00,
Finger Millet (Ragi),1966-67,Tamil Nadu,.,340.60,#VALUE!
Finger Millet (Ragi),1967-68,Tamil Nadu,323.20,320.20,990.72
Finger Millet (Ragi),1968-69,Tamil Nadu,294.50,286.00,971.14
Finger Millet (Ragi),1969-70,Tamil Nadu,336.10,336.70,1001.79
Finger Millet (Ragi),1970-71,Tamil Nadu,296.50,302.90,1021.59
Finger Millet (Ragi),1971-72,Tamil Nadu,292.40,329.20,1125.85
Finger Millet (Ragi),1972-73,Tamil Nadu,278.80,282.00,1011.48
Finger Millet (Ragi),1973-74,Tamil Nadu,263.10,318.70,1211.33
Finger Millet (Ragi),1974-75,Tamil Nadu,282.60,347.70,1230.36
Finger Millet (Ragi),1975-76,Tamil Nadu,319.90,479.20,1497.97
Finger Millet (Ragi),1976-77,Tamil Nadu,290.30,339.70,1170.17
Finger Millet (Ragi),1977-78,Tamil Nadu,290.80,410.30,1410.94
Finger Millet (Ragi),1978-79,Tamil Nadu,279.90,420.50,1502.32
Finger Millet (Ragi),1979-80,Tamil Nadu,252.20,377.80,1498.02
Finger Millet (Ragi),1980-81,Tamil Nadu,192.80,251.40,1303.94
Finger Millet (Ragi),1981-82,Tamil Nadu,245.50,448.50,1826.88
Finger Millet (Ragi),1982-83,Tamil Nadu,206.10,273.00,1324.60
Finger Millet (Ragi),1983-84,Tamil Nadu,232.50,250.90,1079.14
Finger Millet (Ragi),1984-85,Tamil Nadu,202.90,227.50,1121.24
Finger Millet (Ragi),1985-86,Tamil Nadu,195.10,300.80,1541.77
Finger Millet (Ragi),1986-87,Tamil Nadu,176.40,315.30,1787.41
Finger Millet (Ragi),1987-88,Tamil Nadu,198.50,329.10,1657.93
Finger Millet (Ragi),1988-89,Tamil Nadu,193.00,273.40,1416.58
Finger Millet (Ragi),1989-90,Tamil Nadu,201.50,356.00,1766.75
Finger Millet (Ragi),1990-91,Tamil Nadu,169.70,316.20,1863.29
Finger Millet (Ragi),1991-92,Tamil Nadu,158.40,310.60,1960.86
Finger Millet (Ragi),1992-93,Tamil Nadu,150.50,291.00,1933.55
Finger Millet (Ragi),1993-94,Tamil Nadu,158.00,331.00,2094.94
Finger Millet (Ragi),1994-95,Tamil Nadu,144.70,285.00,1969.59
Finger Millet (Ragi),1995-96,Tamil Nadu,121.60,221.00,1817.43
Finger Millet (Ragi),1996-97,Tamil Nadu,111.40,190.50,1710.05
Finger Millet (Ragi),1997-98,Tamil Nadu,107.00,217.90,2036.45
Finger Millet (Ragi),1998-99,Tamil Nadu,120.00,240.60,2005.00
Finger Millet (Ragi),1999-00,Tamil Nadu,122.70,245.90,2004.07
Finger Millet (Ragi),2000-01      ,Tamil Nadu,127.00,259.50,2043.31
Finger Millet (Ragi),2001-02         ,Tamil Nadu,125.00,235.00,1880.00
Finger Millet (Ragi),2002-03  ,Tamil Nadu,104.30,140.20,1344.20
Finger Millet (Ragi),2003-04,Tamil Nadu,145.30,271.10,1865.79
Finger Millet (Ragi),2004-05,Tamil Nadu,108.90,154.10,1415.06
Finger Millet (Ragi),2005-06,Tamil Nadu,99.60,132.70,1332.33
Finger Millet (Ragi),2006-07,Tamil Nadu,95.50,148.20,1551.83
Finger Millet (Ragi),2007-08,Tamil Nadu,93.70,175.90,1877.27
Finger Millet (Ragi),2008-09,Tamil Nadu,90.10,170.00,1886.79
Finger Millet (Ragi),2009-10,Tamil Nadu,82.30,162.64,1976.18
Finger Millet (Ragi),2010-11,Tamil Nadu,75.70,171.10,2260.24
Finger Millet (Ragi),2011-12,Tamil Nadu,82.81,224.86,2715.37
Finger Millet (Ragi),2012-13,Tamil Nadu,70.30,138.30,1967.28
Finger Millet (Ragi),2013-14,Tamil Nadu,118.70,362.30,3052.23
Finger Millet (Ragi),2014-15,Tamil Nadu,104.40,349.60,3348.66
Finger Millet (Ragi),2015-16,Tamil Nadu,90.00,271.20,3013.33
Finger Millet (Ragi),2016-17,Tamil Nadu,61.40,114.40,1863.19
Finger Millet (Ragi),2017-18,Tamil Nadu,86.51,321.30,3714.00
Finger Millet (Ragi),2018-19,Tamil Nadu,78.60,256.00,3257.00
Finger Millet (Ragi),2019-20,Tamil Nadu,84.54,274.50,3247.00
Finger Millet (Ragi),2012-13,Telangana,2.00,3.00,1500.00
Finger Millet (Ragi),2013-14,Telangana,2.00,3.00,1500.00
Finger Millet (Ragi),2014-15,Telangana,2.00,2.00,1000.00
Finger Millet (Ragi),2015-16,Telangana,1.00,1.00,1000.00
Finger Millet (Ragi),2016-17,Telangana,1.00,1.00,1000.00
Finger Millet (Ragi),2017-18,Telangana,1.00,1.14,1137.00
Finger Millet (Ragi),2018-19,Telangana,1.00,0.98,977.00
Finger Millet (Ragi),2019-20,Telangana,2.00,3.16,1581.00
Finger Millet (Ragi),1966-67,Uttar Pradesh,164.50,107.50,653.50
Finger Millet (Ragi),1967-68,Uttar Pradesh,181.90,146.10,803.19
Finger Millet (Ragi),1968-69,Uttar Pradesh,212.20,136.20,641.85
Finger Millet (Ragi),1969-70,Uttar Pradesh,245.20,195.40,796.90
Finger Millet (Ragi),1970-71,Uttar Pradesh,250.50,195.90,782.04
Finger Millet (Ragi),1971-72,Uttar Pradesh,273.80,289.10,1055.88
Finger Millet (Ragi),1972-73,Uttar Pradesh,259.30,257.70,993.83
Finger Millet (Ragi),1973-74,Uttar Pradesh,202.90,195.00,961.06
Finger Millet (Ragi),1974-75,Uttar Pradesh,212.60,214.80,1010.35
Finger Millet (Ragi),1975-76,Uttar Pradesh,183.50,186.20,1014.71
Finger Millet (Ragi),1976-77,Uttar Pradesh,193.70,186.70,963.86
Finger Millet (Ragi),1977-78,Uttar Pradesh,174.70,168.10,962.22
Finger Millet (Ragi),1978-79,Uttar Pradesh,173.50,169.50,976.95
Finger Millet (Ragi),1979-80,Uttar Pradesh,169.90,111.90,658.62
Finger Millet (Ragi),1980-81,Uttar Pradesh,170.50,164.20,963.05
Finger Millet (Ragi),1981-82,Uttar Pradesh,163.40,145.50,890.45
Finger Millet (Ragi),1982-83,Uttar Pradesh,162.90,155.60,955.19
Finger Millet (Ragi),1983-84,Uttar Pradesh,165.40,177.00,1070.13
Finger Millet (Ragi),1984-85,Uttar Pradesh,156.90,170.60,1087.32
Finger Millet (Ragi),1985-86,Uttar Pradesh,148.80,169.60,1139.78
Finger Millet (Ragi),1986-87,Uttar Pradesh,162.80,178.30,1095.21
Finger Millet (Ragi),1987-88,Uttar Pradesh,146.30,107.10,732.06
Finger Millet (Ragi),1988-89,Uttar Pradesh,149.20,174.50,1169.57
Finger Millet (Ragi),1989-90,Uttar Pradesh,162.30,200.10,1232.90
Finger Millet (Ragi),1990-91,Uttar Pradesh,140.50,171.00,1217.08
Finger Millet (Ragi),1991-92,Uttar Pradesh,139.70,171.60,1228.35
Finger Millet (Ragi),1992-93,Uttar Pradesh,140.20,176.70,1260.34
Finger Millet (Ragi),1993-94,Uttar Pradesh,142.40,181.70,1275.98
Finger Millet (Ragi),1994-95,Uttar Pradesh,146.50,191.00,1303.75
Finger Millet (Ragi),1995-96,Uttar Pradesh,137.80,186.20,1351.23
Finger Millet (Ragi),1996-97,Uttar Pradesh,143.90,184.80,1284.23
Finger Millet (Ragi),1997-98,Uttar Pradesh,143.90,185.00,1285.62
Finger Millet (Ragi),1998-99,Uttar Pradesh,134.80,184.40,1367.95
Finger Millet (Ragi),1999-00,Uttar Pradesh,138.00,191.00,1384.06
Finger Millet (Ragi),2000-01      ,Uttar Pradesh,1.00,1.00,1000.00
Finger Millet (Ragi),2001-02         ,Uttar Pradesh,0.40,0.60,1500.00
Finger Millet (Ragi),2002-03  ,Uttar Pradesh,0.60,0.90,1500.00
Finger Millet (Ragi),2003-04,Uttar Pradesh,0.70,1.00,1428.57
Finger Millet (Ragi),2004-05,Uttar Pradesh,0.70,0.90,1285.71
Finger Millet (Ragi),2005-06,Uttar Pradesh,0.70,0.90,1285.71
Finger Millet (Ragi),2006-07,Uttar Pradesh,0.00,0.00,
Finger Millet (Ragi),2007-08,Uttar Pradesh,1.00,1.00,1000.00
Finger Millet (Ragi),2008-09,Uttar Pradesh,0.60,0.80,1333.33
Finger Millet (Ragi),2009-10,Uttar Pradesh,0.60,0.80,1333.33
Finger Millet (Ragi),2010-11,Uttar Pradesh,0.00,0.00,
Finger Millet (Ragi),2011-12,Uttar Pradesh,,,
Finger Millet (Ragi),2012-13,Uttar Pradesh,124.60,,0.00
Finger Millet (Ragi),2013-14,Uttar Pradesh,112.20,,0.00
Finger Millet (Ragi),2014-15,Uttar Pradesh,112.80,,0.00
Finger Millet (Ragi),2015-16,Uttar Pradesh,107.40,,0.00
Finger Millet (Ragi),2016-17,Uttar Pradesh,107.00,,0.00
Finger Millet (Ragi),2017-18,Uttar Pradesh,103.00,,0.00
Finger Millet (Ragi),1995-96,Uttarakhand,12.90,,0.00
Finger Millet (Ragi),1996-97,Uttarakhand,,,
Finger Millet (Ragi),1997-98,Uttarakhand,,,
Finger Millet (Ragi),1998-99,Uttarakhand,,,
Finger Millet (Ragi),1999-00,Uttarakhand,,,
Finger Millet (Ragi),2000-01      ,Uttarakhand,151.00,193.30,1280.13
Finger Millet (Ragi),2001-02         ,Uttarakhand,141.70,176.00,1242.06
Finger Millet (Ragi),2002-03  ,Uttarakhand,156.00,154.00,987.18
Finger Millet (Ragi),2003-04,Uttarakhand,136.00,174.00,1279.41
Finger Millet (Ragi),2004-05,Uttarakhand,167.00,190.00,1137.72
Finger Millet (Ragi),2005-06,Uttarakhand,140.00,174.00,1242.86
Finger Millet (Ragi),2006-07,Uttarakhand,136.00,186.00,1367.65
Finger Millet (Ragi),2007-08,Uttarakhand,128.00,179.00,1398.44
Finger Millet (Ragi),2008-09,Uttarakhand,135.00,193.00,1429.63
Finger Millet (Ragi),2009-10,Uttarakhand,132.00,163.00,1234.85
Finger Millet (Ragi),2010-11,Uttarakhand,128.10,170.50,1330.99
Finger Millet (Ragi),2011-12,Uttarakhand,125.00,174.00,1392.00
Finger Millet (Ragi),2012-13,Uttarakhand,,173.50,
Finger Millet (Ragi),2013-14,Uttarakhand,,153.90,
Finger Millet (Ragi),2014-15,Uttarakhand,,155.70,
Finger Millet (Ragi),2015-16,Uttarakhand,,150.60,
Finger Millet (Ragi),2016-17,Uttarakhand,,160.00,
Finger Millet (Ragi),2017-18,Uttarakhand,,140.80,
Finger Millet (Ragi),2018-19,Uttarakhand,92.00,109.85,1194.00
Finger Millet (Ragi),2019-20,Uttarakhand,84.00,120.12,1430.00
Finger Millet (Ragi),1966-67,West Bengal,8.50,4.00,470.59
Finger Millet (Ragi),1967-68,West Bengal,9.90,7.60,767.68
Finger Millet (Ragi),1968-69,West Bengal,9.50,7.50,789.47
Finger Millet (Ragi),1969-70,West Bengal,8.90,7.30,820.22
Finger Millet (Ragi),1970-71,West Bengal,9.50,7.50,789.47
Finger Millet (Ragi),1971-72,West Bengal,7.60,6.20,815.79
Finger Millet (Ragi),1972-73,West Bengal,7.40,6.20,837.84
Finger Millet (Ragi),1973-74,West Bengal,7.80,6.40,820.51
Finger Millet (Ragi),1974-75,West Bengal,14.50,9.30,641.38
Finger Millet (Ragi),1975-76,West Bengal,19.30,14.00,725.39
Finger Millet (Ragi),1976-77,West Bengal,14.10,11.20,794.33
Finger Millet (Ragi),1977-78,West Bengal,13.30,10.40,781.95
Finger Millet (Ragi),1978-79,West Bengal,12.60,8.10,642.86
Finger Millet (Ragi),1979-80,West Bengal,13.40,9.10,679.10
Finger Millet (Ragi),1980-81,West Bengal,16.20,9.80,604.94
Finger Millet (Ragi),1981-82,West Bengal,16.80,9.70,577.38
Finger Millet (Ragi),1982-83,West Bengal,14.30,8.30,580.42
Finger Millet (Ragi),1983-84,West Bengal,13.60,9.00,661.76
Finger Millet (Ragi),1984-85,West Bengal,14.60,10.10,691.78
Finger Millet (Ragi),1985-86,West Bengal,13.90,9.60,690.65
Finger Millet (Ragi),1986-87,West Bengal,16.10,12.00,745.34
Finger Millet (Ragi),1987-88,West Bengal,15.30,10.90,712.42
Finger Millet (Ragi),1988-89,West Bengal,14.90,12.90,865.77
Finger Millet (Ragi),1989-90,West Bengal,13.60,12.10,889.71
Finger Millet (Ragi),1990-91,West Bengal,13.10,10.90,832.06
Finger Millet (Ragi),1991-92,West Bengal,12.80,11.80,921.88
Finger Millet (Ragi),1992-93,West Bengal,12.50,11.70,936.00
Finger Millet (Ragi),1993-94,West Bengal,12.40,11.70,943.55
Finger Millet (Ragi),1994-95,West Bengal,12.40,13.20,1064.52
Finger Millet (Ragi),1995-96,West Bengal,1.80,13.60,7555.56
Finger Millet (Ragi),1996-97,West Bengal,12.50,14.00,1120.00
Finger Millet (Ragi),1997-98,West Bengal,12.60,15.30,1214.29
Finger Millet (Ragi),1998-99,West Bengal,12.90,15.60,1209.30
Finger Millet (Ragi),1999-00,West Bengal,12.50,15.10,1208.00
Finger Millet (Ragi),2000-01      ,West Bengal,12.70,15.20,1196.85
Finger Millet (Ragi),2001-02         ,West Bengal,12.70,14.80,1165.35
Finger Millet (Ragi),2002-03  ,West Bengal,13.50,15.60,1155.56
Finger Millet (Ragi),2003-04,West Bengal,13.60,15.60,1147.06
Finger Millet (Ragi),2004-05,West Bengal,12.40,15.10,1217.74
Finger Millet (Ragi),2005-06,West Bengal,12.60,15.30,1214.29
Finger Millet (Ragi),2006-07,West Bengal,13.10,15.00,1145.04
Finger Millet (Ragi),2007-08,West Bengal,13.10,15.00,1145.04
Finger Millet (Ragi),2008-09,West Bengal,12.70,14.70,1157.48
Finger Millet (Ragi),2009-10,West Bengal,11.77,13.90,1180.31
Finger Millet (Ragi),2010-11,West Bengal,11.70,13.80,1179.49
Finger Millet (Ragi),2011-12,West Bengal,8.42,8.24,978.62
Finger Millet (Ragi),2012-13,West Bengal,10.00,12.00,1200.00
Finger Millet (Ragi),2013-14,West Bengal,10.10,11.10,1099.01
Finger Millet (Ragi),2014-15,West Bengal,10.10,11.10,1099.01
Finger Millet (Ragi),2015-16,West Bengal,11.00,12.50,1136.36
Finger Millet (Ragi),2016-17,West Bengal,9.90,11.00,1111.11
Finger Millet (Ragi),2017-18,West Bengal,12.00,13.56,1130.00
Finger Millet (Ragi),2018-19,West Bengal,3.27,2.93,895.00
Finger Millet (Ragi),2019-20,West Bengal,2.85,4.17,1464.00
Minor Millets,1966-67,All India                             ,4584.00,1488.50,324.72
Minor Millets,1967-68,All India                             ,4857.20,1907.20,392.65
Minor Millets,1968-69,All India                             ,4746.20,1803.70,380.03
Minor Millets,1969-70,All India                             ,4732.70,1732.00,365.96
Minor Millets,1970-71,All India                             ,4782.90,1987.80,415.61
Minor Millets,1971-72,All India                             ,4477.30,1669.40,372.86
Minor Millets,1972-73,All India                             ,4265.20,1552.20,363.92
Minor Millets,1973-74,All India                             ,4567.10,1965.90,430.45
Minor Millets,1974-75,All India                             ,4466.30,1613.40,361.24
Minor Millets,1975-76,All India                             ,4672.50,1924.10,411.79
Minor Millets,1976-77,All India                             ,4679.50,1751.80,374.36
Minor Millets,1977-78,All India                             ,4573.80,2069.80,452.53
Minor Millets,1978-79,All India                             ,4396.80,1893.90,430.75
Minor Millets,1979-80,All India                             ,4001.70,1424.70,356.02
Minor Millets,1980-81,All India                             ,3976.30,1574.60,396.00
Minor Millets,1981-82,All India                             ,3786.10,1638.40,432.74
Minor Millets,1982-83,All India                             ,3499.40,1229.10,351.23
Minor Millets,1983-84,All India                             ,3637.40,1675.40,460.60
Minor Millets,1984-85,All India                             ,3213.80,1194.20,371.59
Minor Millets,1985-86,All India                             ,3154.80,1217.20,385.82
Minor Millets,1986-87,All India                             ,2974.60,1161.50,390.47
Minor Millets,1987-88,All India                             ,2875.70,1248.60,434.19
Minor Millets,1988-89,All India                             ,2742.50,1163.50,424.25
Minor Millets,1989-90,All India                             ,2703.10,1305.50,482.96
Minor Millets,1990-91,All India                             ,2447.40,1190.00,486.23
Minor Millets,1991-92,All India                             ,2087.60,882.10,422.54
Minor Millets,1992-93,All India                             ,1983.00,868.80,438.12
Minor Millets,1993-94,All India                             ,1887.50,917.10,485.88
Minor Millets,1994-95,All India                             ,1791.70,798.00,445.39
Minor Millets,1995-96,All India                             ,1662.20,778.80,468.54
Minor Millets,1996-97,All India                             ,1601.10,728.20,454.81
Minor Millets,1997-98,All India                             ,1529.40,639.90,418.40
Minor Millets,1998-99,All India                             ,1494.60,670.80,448.82
Minor Millets,1999-00,All India                             ,1410.90,618.20,438.16
Minor Millets,2000-01      ,All India                             ,1399.80,575.00,410.77
Minor Millets,2001-02         ,All India                             ,1286.10,564.80,439.16
Minor Millets,2002-03  ,All India                             ,1176.20,447.40,380.38
Minor Millets,2003-04,All India                             ,1166.40,552.80,473.94
Minor Millets,2004-05,All India                             ,1076.00,465.92,433.01
Minor Millets,2005-06,All India                             ,1039.30,459.60,442.22
Minor Millets,2006-07,All India                             ,985.20,467.60,474.62
Minor Millets,2007-08,All India                             ,1014.20,538.70,531.16
Minor Millets,2008-09,All India                             ,880.20,432.80,491.71
Minor Millets,2009-10,All India                             ,805.63,370.02,459.30
Minor Millets,2010-11,All India                             ,774.93,429.97,554.84
Minor Millets,2011-12,All India                             ,798.78,451.53,565.28
Minor Millets,2012-13,All India                             ,754.09,435.65,577.72
Minor Millets,2013-14,All India                             ,682.30,429.91,630.09
Minor Millets,2014-15,All India                             ,589.59,385.87,654.47
Minor Millets,2015-16,All India                             ,649.80,390.84,601.48
Minor Millets,2016-17,All India                             ,619.11,441.94,713.84
Minor Millets,2017-18,All India                             ,546.27,438.99,803.60
Minor Millets,2018-19,All India                             ,453.75,333.00,734.00
Minor Millets,2019-20,All India                             ,458.35,370.81,809.00
Minor Millets,1966-67,Andhra Pradesh,924.50,246.90,267.06
Minor Millets,1967-68,Andhra Pradesh,859.80,215.40,250.52
Minor Millets,1968-69,Andhra Pradesh,804.00,180.00,223.88
Minor Millets,1969-70,Andhra Pradesh,850.50,184.70,217.17
Minor Millets,1970-71,Andhra Pradesh,799.10,327.40,409.71
Minor Millets,1971-72,Andhra Pradesh,687.60,256.60,373.18
Minor Millets,1972-73,Andhra Pradesh,636.60,218.80,343.70
Minor Millets,1973-74,Andhra Pradesh,737.40,326.50,442.77
Minor Millets,1974-75,Andhra Pradesh,708.30,268.60,379.22
Minor Millets,1975-76,Andhra Pradesh,805.30,294.70,365.95
Minor Millets,1976-77,Andhra Pradesh,761.80,261.90,343.79
Minor Millets,1977-78,Andhra Pradesh,758.50,397.10,523.53
Minor Millets,1978-79,Andhra Pradesh,683.90,336.10,491.45
Minor Millets,1979-80,Andhra Pradesh,575.60,273.40,474.98
Minor Millets,1980-81,Andhra Pradesh,551.10,170.70,309.74
Minor Millets,1981-82,Andhra Pradesh,603.50,371.00,614.75
Minor Millets,1982-83,Andhra Pradesh,474.00,145.90,307.81
Minor Millets,1983-84,Andhra Pradesh,473.90,239.90,506.22
Minor Millets,1984-85,Andhra Pradesh,402.30,125.50,311.96
Minor Millets,1985-86,Andhra Pradesh,364.60,133.20,365.33
Minor Millets,1986-87,Andhra Pradesh,329.50,118.50,359.64
Minor Millets,1987-88,Andhra Pradesh,323.90,147.00,453.84
Minor Millets,1988-89,Andhra Pradesh,246.00,106.10,431.30
Minor Millets,1989-90,Andhra Pradesh,220.30,160.90,730.37
Minor Millets,1990-91,Andhra Pradesh,189.10,115.30,609.73
Minor Millets,1991-92,Andhra Pradesh,119.90,69.30,577.98
Minor Millets,1992-93,Andhra Pradesh,109.50,66.10,603.65
Minor Millets,1993-94,Andhra Pradesh,113.10,86.00,760.39
Minor Millets,1994-95,Andhra Pradesh,97.30,46.90,482.01
Minor Millets,1995-96,Andhra Pradesh,98.30,72.80,740.59
Minor Millets,1996-97,Andhra Pradesh,84.00,55.20,657.14
Minor Millets,1997-98,Andhra Pradesh,65.90,35.60,540.21
Minor Millets,1998-99,Andhra Pradesh,74.00,47.00,635.14
Minor Millets,1999-00,Andhra Pradesh,63.70,33.60,527.47
Minor Millets,2000-01      ,Andhra Pradesh,66.50,39.80,598.50
Minor Millets,2001-02         ,Andhra Pradesh,57.00,34.00,596.49
Minor Millets,2002-03  ,Andhra Pradesh,48.00,23.00,479.17
Minor Millets,2003-04,Andhra Pradesh,50.00,30.00,600.00
Minor Millets,2004-05,Andhra Pradesh,48.00,23.00,479.17
Minor Millets,2005-06,Andhra Pradesh,44.00,26.00,590.91
Minor Millets,2006-07,Andhra Pradesh,34.00,17.00,500.00
Minor Millets,2007-08,Andhra Pradesh,35.00,22.00,628.57
Minor Millets,2008-09,Andhra Pradesh,30.00,16.00,533.33
Minor Millets,2009-10,Andhra Pradesh,25.00,13.00,520.00
Minor Millets,2010-11,Andhra Pradesh,30.00,29.00,966.67
Minor Millets,2011-12,Andhra Pradesh,29.00,29.00,1000.00
Minor Millets,2012-13,Andhra Pradesh,37.03,36.00,972.18
Minor Millets,2013-14,Andhra Pradesh,28.00,22.00,785.71
Minor Millets,2014-15,Andhra Pradesh,20.00,14.00,700.00
Minor Millets,2015-16,Andhra Pradesh,51.00,49.00,960.78
Minor Millets,2016-17,Andhra Pradesh,31.00,24.00,774.19
Minor Millets,2017-18,Andhra Pradesh,21.00,16.00,761.90
Minor Millets,2018-19,Andhra Pradesh,13.00,6.00,461.54
Minor Millets,2019-20,Andhra Pradesh,22.00,22.00,1000.00
Minor Millets,1975-76,Arunachal Pradesh,15.10,9.50,629.14
Minor Millets,1976-77,Arunachal Pradesh,15.70,10.50,668.79
Minor Millets,1977-78,Arunachal Pradesh,15.70,10.50,668.79
Minor Millets,1978-79,Arunachal Pradesh,16.50,13.70,830.30
Minor Millets,1979-80,Arunachal Pradesh,11.90,10.30,865.55
Minor Millets,1980-81,Arunachal Pradesh,16.90,14.80,875.74
Minor Millets,1981-82,Arunachal Pradesh,18.00,15.80,877.78
Minor Millets,1982-83,Arunachal Pradesh,18.00,17.30,961.11
Minor Millets,1983-84,Arunachal Pradesh,20.80,14.80,711.54
Minor Millets,1984-85,Arunachal Pradesh,21.70,16.20,746.54
Minor Millets,1985-86,Arunachal Pradesh,18.80,17.70,941.49
Minor Millets,1986-87,Arunachal Pradesh,27.00,20.00,740.74
Minor Millets,1987-88,Arunachal Pradesh,26.20,14.40,549.62
Minor Millets,1988-89,Arunachal Pradesh,20.30,16.90,832.51
Minor Millets,1989-90,Arunachal Pradesh,19.70,19.00,964.47
Minor Millets,1990-91,Arunachal Pradesh,19.80,19.40,979.80
Minor Millets,1991-92,Arunachal Pradesh,19.90,19.50,979.90
Minor Millets,1992-93,Arunachal Pradesh,22.30,20.00,896.86
Minor Millets,1993-94,Arunachal Pradesh,22.40,27.50,1227.68
Minor Millets,1994-95,Arunachal Pradesh,22.40,27.50,1227.68
Minor Millets,1995-96,Arunachal Pradesh,20.80,20.60,990.38
Minor Millets,1996-97,Arunachal Pradesh,18.60,17.80,956.99
Minor Millets,1997-98,Arunachal Pradesh,18.50,18.00,972.97
Minor Millets,1998-99,Arunachal Pradesh,18.00,15.60,866.67
Minor Millets,1999-00,Arunachal Pradesh,19.80,17.10,863.64
Minor Millets,2000-01      ,Arunachal Pradesh,20.10,17.30,860.70
Minor Millets,2001-02         ,Arunachal Pradesh,19.70,17.90,908.63
Minor Millets,2002-03  ,Arunachal Pradesh,21.10,19.40,919.43
Minor Millets,2003-04,Arunachal Pradesh,22.30,21.30,955.16
Minor Millets,2004-05,Arunachal Pradesh,22.40,21.40,955.36
Minor Millets,2005-06,Arunachal Pradesh,22.80,22.40,982.46
Minor Millets,2006-07,Arunachal Pradesh,21.70,21.40,986.18
Minor Millets,2007-08,Arunachal Pradesh,22.30,19.40,869.96
Minor Millets,2008-09,Arunachal Pradesh,22.30,18.90,847.53
Minor Millets,2009-10,Arunachal Pradesh,21.40,18.40,859.81
Minor Millets,2010-11,Arunachal Pradesh,21.66,20.04,925.07
Minor Millets,2011-12,Arunachal Pradesh,22.00,22.00,1000.00
Minor Millets,2012-13,Arunachal Pradesh,22.68,23.41,1032.41
Minor Millets,2013-14,Arunachal Pradesh,22.70,23.83,1049.78
Minor Millets,2014-15,Arunachal Pradesh,26.00,27.00,1038.46
Minor Millets,2015-16,Arunachal Pradesh,27.50,27.56,1002.18
Minor Millets,2016-17,Arunachal Pradesh,5.28,27.03,5118.35
Minor Millets,2017-18,Arunachal Pradesh,26.77,27.30,1020.00
Minor Millets,2018-19,Arunachal Pradesh,26.78,27.39,1023.00
Minor Millets,2019-20,Arunachal Pradesh,26.76,27.43,1025.00
Minor Millets,1966-67,Assam,6.40,3.20,500.00
Minor Millets,1967-68,Assam,6.50,3.20,492.31
Minor Millets,1968-69,Assam,6.00,3.00,500.00
Minor Millets,1969-70,Assam,6.30,3.10,492.06
Minor Millets,1970-71,Assam,5.50,2.70,490.91
Minor Millets,1971-72,Assam,5.90,2.90,491.53
Minor Millets,1972-73,Assam,9.90,4.90,494.95
Minor Millets,1973-74,Assam,8.60,4.40,511.63
Minor Millets,1974-75,Assam,10.00,5.10,510.00
Minor Millets,1975-76,Assam,10.60,5.20,490.57
Minor Millets,1976-77,Assam,7.40,3.60,486.49
Minor Millets,1977-78,Assam,8.00,3.90,487.50
Minor Millets,1978-79,Assam,8.80,4.30,488.64
Minor Millets,1979-80,Assam,8.70,4.30,494.25
Minor Millets,1980-81,Assam,8.40,4.10,488.10
Minor Millets,1981-82,Assam,8.10,4.10,506.17
Minor Millets,1982-83,Assam,8.10,4.00,493.83
Minor Millets,1983-84,Assam,9.70,5.00,515.46
Minor Millets,1984-85,Assam,12.00,6.20,516.67
Minor Millets,1985-86,Assam,9.90,5.10,515.15
Minor Millets,1986-87,Assam,10.00,5.10,510.00
Minor Millets,1987-88,Assam,10.10,5.30,524.75
Minor Millets,1988-89,Assam,10.50,5.20,495.24
Minor Millets,1989-90,Assam,10.10,5.30,524.75
Minor Millets,1990-91,Assam,10.50,5.40,514.29
Minor Millets,1991-92,Assam,10.40,5.70,548.08
Minor Millets,1992-93,Assam,9.30,5.00,537.63
Minor Millets,1993-94,Assam,9.10,4.50,494.51
Minor Millets,1994-95,Assam,9.00,4.50,500.00
Minor Millets,1995-96,Assam,11.50,6.00,521.74
Minor Millets,1996-97,Assam,10.40,5.40,519.23
Minor Millets,1997-98,Assam,10.50,5.40,514.29
Minor Millets,1998-99,Assam,10.50,5.50,523.81
Minor Millets,1999-00,Assam,11.00,5.00,454.55
Minor Millets,2000-01      ,Assam,10.60,5.40,509.43
Minor Millets,2001-02         ,Assam,8.00,4.00,500.00
